name,danWei,danWei2,danWei3,danWei4,des,year,durYear,money,du,leiBie,leiBie2,ff,js,kj,kj2,bb,fzr,gg,djs,ly,jisu,jisu2,buf,fm,cgxs,zsxk
面向安防监控的超高清低延迟AVS3视频编码芯片,智通未来技术公司,天域生物工程有限公司,智通未来技术公司,[],①研究面向硬件实现的高效AVS3视频编码算法；②研究超高清低延迟的AVS3实时硬件编码器IP核；③研究针对AVS3 视频编码的高层次敏捷硬件设计和优化方法；④研究基于神经网络的AVS3编码优化算法，包括复杂块划分、模式判决、码率估计、滤波优化等关键模块；⑤研究高效集成图像分析、智能计算和编码模块的AVS3编码器SoC体系架构；⑥研制超高清低延迟高压缩性能的AVS3视频编码芯片和验证系统。,2017,3,1200,主要项目,使用研究,使用研究一,硬件设计与优化，视频编码，图像分析,高层次敏捷设计，神经网络，复杂块分析，模式判决，码率估计,国家,美国,1,宁建国 13262385951,汪玉 李璐 张杨 ,丹丹县,环境,智能制造与高端装备,精密加工与设备,社发,十个方面九,研究报告,未结项
高性能硬盘录像机芯片,生物前沿研究院,未来科技大学,[],[],研究深度神经网络自监督在线学习、低比特训练等重大科学问题，突破高效张量处理架构、异构张量单元级联、8K超高清视频解码和显示技术、高速Serdes接口技术、高性能处理器芯片技术等关键技术。到2023年，开发出高性能硬盘录像机芯片，填补行业空白，并实现国产化配套应用，核心技术指标达到国际先进水平。,2018,5,1000,一般项目,特殊研究,特殊研究,深度神经网络，张量处理，视频解码,自监督学习，低比特训练，8K解码，高速Serdes接口,互联网,互联网六,1,林俊 15008131244,张楠 ,丹市,交通,智能制造与高端装备,精密加工与设备,社发,十个方面三,软件平台,延期结项
适用于5G/6G高速通信应用的毫米波E波段集成电路芯片及表贴封装关键技术研发,深空探测研究中心,未来科技大学,先锋工程学院,[],设计高集成全固态单片集成电路收发机SOC芯片，实现毫米波射频放大电路、变频器电路、本振倍频链路、可变增益放大电路、滤波器等多个功能单元单片集成；设计高集成全固态单片集成功率放大器芯片，实现片内串并联功率合成，提高输出效率，增大工作带宽；设计符合工业大规模生产的Eband表贴封装，去金属腔体化的毫米波波导连接，实现低成本的PCB衬底下的SIP封装，助力5G产业潜能全释放，降低工业化量产成本。,2018,4,1000,重点项目,管理研究,管理研究七,集成电路设计，毫米波射频，封装技术,功率合成，SIP封装，低成本PCB衬底,国家,德国,1,赵燕 15304405081,徐建国 何婷婷 ,强市,材料,智能制造与高端装备,精密加工与设备,社发,十个方面八,学术论文,延期结项
5G+射频材料及器件,未来能源研究所,光谱研究大学,生物前沿研究院,极限材料科技公司,研究介质材料掺杂改性原理与性能调制、小型化射频器件物理模型构建等重大科学问题，突破重点突破5G+介质材料精准制备、小型化射频元器件设计和小型化射频元器件制造等关键技术。到2023年，发出5G+射频材料及器件，为移动通信基站和终端设备厂商提供国产化射频器件配套应用，核心技术指标达到国际先进水平。,2020,2,1500,主要项目,自助,自助,材料掺杂，射频器件，物理模型,小型化，低功耗，高性能,国家,印度,3,康林 15662475449,魏燕 ,红县,环境,智能制造与高端装备,精密加工与设备,社发,十个方面二,学术论文,未结项
基于多收发通道的宽频段高性能低功耗射频收发芯片,恒星数据科技公司,[],[],[],研究大动态低功耗收发通道、多芯片同步并发、高速高精度数据转换单元、宽带超低相噪频率综合器、宽带数字校正、基于SiGe工艺的24GHz毫米波雷达SoC芯片设计及模拟等重大科学问题，突破射频收发单芯片多通道集成、高线性大动态收发通道、高速低功耗串行接口、降低雷达调制泄露技术、适用于毫米波的封装技术和芯片-封装协同仿真验证等关键技术等，开发出基于零中频架构的宽频段高性能低功耗射频收发芯片和多收发通道的24GHz全集成毫米波雷达收发机芯片。,2018,2,500,重点项目,使用研究,使用研究二,动态低功耗，数据转换，频率综合,多芯片同步，超低相噪，宽带,互联网,互联网四,3,邱萍 15801088106,韩丽娟 谢建华 ,武汉市,环境,智能制造与高端装备,精密加工与设备,工业,十个方面三,学术论文,延期结项
包络跟踪电源管理芯片,银河科学技术大学,恒星数据科技公司,智通未来技术公司,极限材料科技公司,研究5G通信、高线性高功率通信、多功能雷达中能源效率等重大科学问题，突破包络跟踪电源调制等关键技术，可在高带宽内精确而快速地跟踪输入包络信号的幅度，并实现在射频系统超高带宽功率放大器的国产化配套应用，关键技术指标达到国际先进水平。,2021,2,200,主要项目,特殊研究,特殊研究,电源管理，芯片设计，频率跟踪,包络跟踪，低功耗，高效能,互联网,互联网四,3,曾红霞 18858382387,廖桂珍 梁欢 白静 ,淮安市,农业,智能制造与高端装备,精密加工与设备,工业,十个方面七,研究报告,已结项
基于存算一体器件的众核架构类脑芯片研发及应用,深空探测研究中心,[],[],[],借鉴大脑神经系统的结构及信息处理机制，研究人工突触与人工神经元的一体化集成，突破大规模神经元互连集成和神经元脉冲信息高效实时传输技术。研究基于存算一体器件的神经元簇，并结合众核并行异步处理机制，实现基于众核架构的大规模可扩展类脑计算芯片架构；研究类脑计算芯片片上学习、权重精度自适应、晶圆级集成(SOW)等技术，研究神经网络模型的高效率部署，实现原型样片的流片和原型系统的构建。,2022,6,200,主要项目,管理研究,管理研究七,存算一体，类脑芯片，多核架构,神经网络，智能计算，高效集成,互联网,互联网二,3,孔柳 18966106801,袁桂兰 徐荣 李兰英 ,杰县,机器人,智能制造与高端装备,精密加工与设备,社发,十个方面二,学术论文,未结项
面向智能制造的工业物联网操作系统,天域生物工程有限公司,极限材料科技公司,[],[],研制开放源码、可软件定义的工业物联网操作系统，研发配套的支持国产ARM和RISC-V通用芯片及国产智能芯片的智能工业物联硬件终端，解决海量异构传感器编程、部署与管理相关的全面智能感知难题，车间内人、设备、工件、工业控制系统PLC等互联互通的泛在互联难题，对感知采集的数据进行近场处理分析的实时认知难题，支持生产过程柔性构造的精准控制难题等，简化工业物联网落地相关的编程、部署、管理、运维等工作，降低工业物联网应用的实施门槛，补足现有工业物联网/工业互联网平台在落地实施方面的短板并与其形成上下游互补的相互支撑，建设开放友好的生态体系，开展应用示范和产业化推广。,2022,6,400,主要项目,管理研究,管理研究七,物联网，操作系统，智能制造,实时监控，数据分析，系统集成,国家,巴西,1,马红霞 18253353902,程荣 ,太原市,环境,信息通信技术,物联网,社发,十个方面十,研究报告,未结项
面向智能制造的场景操作系统的研究 ,智能机器人研究所,[],[],[],①面向智能制造的操作系统架构与自主可控的安全操作系统内核研究。面向智能制造领域应用构筑自主操作系统内核，针对不同场景，垂直整合构筑功能安全、信息安全、极低时延、极高效能等竞争力。②适应智能制造领域应用的计算抽象及运行时支撑研发。研究以“云端协同”为基本思路，为智能制造领域应用构建云端皆可用的计算抽象及运行时支撑，将智能制造领域应用的实际需求和工作流程进行合理抽象和建模以方便开发和部署，并通过云端协同的方式为智能制造领域应用提供可控时延、智能存算、易移植、高可靠容错等方面的支撑。③形式化方法与验证技术在智能制造领域的应用。结合智能制造中的设备、操作系统、人和环境之间的多变因素，探索智能制造中的形式化方法与验证的技术，保障智能制造领域的应用的正确性、安全性、以及容错性等。,2020,6,400,重点项目,条件研究,条件研究二,操作系统架构设计 安全操作系统内核研发 计算抽象与运行时支撑 形式化方法与验证技术 智能制造应用集成,自主操作系统内核 云端协同计算 实时监测与控制 数据分析与优化 智能化操作平台,国家,日本,3,张静 13214657827,徐金凤 韩想 张东 黄宁 张桂荣 ,西宁市,能源,智能制造与高端装备,智能制造技术,工业,十个方面四,学术论文,未结项
12英寸单晶硅硬轴直拉生长炉研制,智通未来技术公司,恒星数据科技公司,[],[],研究硬轴晶体提升系统的传动和密封技术、硬轴晶体提升系统机械稳定性的控制、超导磁场与硬轴单晶炉的匹配、下轴称重技术等重大科学问题，突破300mm晶体生长界面处的震动消除技术、300mm硅单晶生长速度和径向均匀性精确控制技术、基于超导磁场极低氧含量精准控制的单晶炉磁控及匹配技术等关键技术。,2020,2,1500,主要项目,条件研究,条件研究一,硅材料，生长技术，设备设计,单晶生长，硬轴直拉，设备优化,互联网,互联网六,3,唐刚 18533461875,陈林 徐飞 姬欢 陈秀荣 向雪 ,桂芳市,机器人,智能制造与高端装备,精密加工与设备,社发,十个方面九,学术论文,延期结项
